user_id,day,time_window,scs_pos_1,scs_neg_1,scs_pos_2,scs_neg_2,scs_neg_3,scs_pos_3,scs_pos_4,scs_neg_4,neg_aff_Moment,neg_aff_Day,neg_aff_Person,context_Moment,context_Day,context_Person,dec_Moment,dec_Day,dec_Person
134oLtZYnO,1,1,1,-2,2,-1,-2,1,1,2,-0.968332881629111,-0.0565224579668809,-0.388777124733135,-0.00433583763474287,-0.37512722992483,-0.190970385064247,-0.00436156959795214,0.407680791086191,-0.403995599231898
134oLtZYnO,1,2,1,-1,1,1,-2,2,1,-2,1.53204986433539,-0.0565224579668809,-0.388777124733135,-0.00433583763474287,-0.37512722992483,-0.190970385064247,-0.162419401999555,0.407680791086191,-0.403995599231898
134oLtZYnO,1,3,2,-2,1,-3,-3,3,2,-3,-0.561766581472281,-0.0565224579668809,-0.388777124733135,-0.00433583763474287,-0.37512722992483,-0.190970385064247,0.159158974111108,0.407680791086191,-0.403995599231898
134oLtZYnO,2,2,1,-2,1,-1,-3,1,2,1,0.000650133744667228,-1.1200393563978,-0.388777124733135,-0.759157195392463,0.528568288229506,-0.190970385064247,-0.91111647574795,-0.150016947828878,-0.403995599231898
134oLtZYnO,2,4,2,-2,1,1,-1,2,2,1,0.508858008940705,-1.1200393563978,-0.388777124733135,0.750485520122978,0.528568288229506,-0.190970385064247,1.08466457730972,-0.150016947828878,-0.403995599231898
134oLtZYnO,2,5,2,-3,-1,1,-2,1,2,1,-0.304274591372955,-1.1200393563978,-0.388777124733135,0.750485520122978,0.528568288229506,-0.190970385064247,0.189985413232737,-0.150016947828878,-0.403995599231898
134oLtZYnO,3,1,2,-2,-1,-1,-1,2,2,-1,0.107373787535835,-1.25365378906869,-0.388777124733135,-0.00433583763474287,1.43226380638384,-0.190970385064247,0.512676014118368,-0.610830674179627,-0.403995599231898
134oLtZYnO,3,3,2,-1,-3,-1,1,2,2,2,-0.116237677550422,-1.25365378906869,-0.388777124733135,-0.00433583763474287,1.43226380638384,-0.190970385064247,-1.56715042176948,-0.610830674179627,-0.403995599231898
134oLtZYnO,3,4,1,-1,3,1,-1,2,3,2,0.452955142669141,-1.25365378906869,-0.388777124733135,-0.00433583763474287,1.43226380638384,-0.190970385064247,-0.108789666350053,-0.610830674179627,-0.403995599231898
134oLtZYnO,3,5,2,-3,1,-1,1,2,1,-3,-0.441490717675886,-1.25365378906869,-0.388777124733135,-0.00433583763474287,1.43226380638384,-0.190970385064247,1.15310141068597,-0.610830674179627,-0.403995599231898
