context,scs_neg_8,dec_1,scs_neg_5,scs_neg_2,dec_3,scs_pos_7,scs_pos_3,scs_neg_4,dec_2,dec_4,scs_pos_1,scs_pos_6,time_window,day,neg_aff,exam_day,user_id
3,-1,1,-1,-1,-2,1,2,2,-1,2,1,2,3,15,-3,no_exam,GXE1SW37BK
3,-2,1,-3,-1,-2,1,2,2,-2,-2,1,2,4,15,-47,no_exam,GXE1SW37BK
4,-2,2,-2,-3,-1,2,2,3,-2,-2,1,2,5,15,-51,no_exam,GXE1SW37BK
3,-2,1,-2,-2,-2,2,2,1,-1,-2,1,2,1,16,51,no_exam,GXE1SW37BK
3,-1,1,-2,-2,-2,-2,2,2,-2,-1,2,2,2,16,2,no_exam,GXE1SW37BK
3,-1,1,-1,-2,-1,2,2,1,-1,-1,1,3,3,16,-18,no_exam,GXE1SW37BK
3,-2,-2,-1,-2,-2,2,2,3,-3,-1,1,1,4,16,-69,no_exam,GXE1SW37BK
4,1,1,-2,-1,-3,-1,1,1,-2,-2,2,1,1,1,-129,no_exam,T8mcvDfSY8
3,-1,2,-2,2,-3,-1,1,-2,-2,-2,1,1,2,1,-22,no_exam,T8mcvDfSY8
3,-2,1,-2,-2,-2,1,2,-2,-1,-2,2,1,3,1,-135,no_exam,T8mcvDfSY8
4,-2,2,-2,-2,-3,2,1,-2,-2,-3,2,2,4,1,-140,no_exam,T8mcvDfSY8
4,-1,-1,-2,-2,-3,2,1,-1,1,-1,2,1,5,1,-141,no_exam,T8mcvDfSY8
4,-2,1,-2,-2,-3,-1,2,-1,-1,-2,1,1,1,2,11,no_exam,T8mcvDfSY8
3,1,1,-2,-2,-3,1,2,-2,-2,-2,2,1,2,2,-34,no_exam,T8mcvDfSY8
3,-1,1,-2,-2,-3,1,2,-1,1,-2,1,1,3,2,-8,no_exam,T8mcvDfSY8
4,-1,1,-2,-2,-3,1,2,-2,-1,-2,2,2,4,2,-71,no_exam,T8mcvDfSY8
4,-2,1,-3,-3,-3,1,1,-2,-2,-1,2,1,5,2,-127,no_exam,T8mcvDfSY8
4,-1,-1,-2,-2,-3,-2,2,1,-1,-2,-1,1,1,3,91,no_exam,T8mcvDfSY8
4,-2,1,-2,-2,-2,1,2,2,-2,-2,2,-1,2,3,-66,no_exam,T8mcvDfSY8
2,1,-2,-3,-2,-3,1,2,-1,1,1,2,-1,3,3,-21,no_exam,T8mcvDfSY8
3,-1,1,-2,-2,-2,1,1,-2,-1,-2,2,1,4,3,25,no_exam,T8mcvDfSY8
4,1,-1,-2,-2,-2,1,2,-2,-1,-1,2,1,5,3,-21,no_exam,T8mcvDfSY8
4,-2,1,-2,-2,-3,1,2,-2,-1,-2,1,1,1,4,-35,no_exam,T8mcvDfSY8
5,-2,2,-2,-2,-3,1,-1,-2,-2,-1,1,1,2,4,-71,no_exam,T8mcvDfSY8
5,-2,-2,-3,-2,-3,1,1,-2,-2,-2,1,2,3,4,-151,no_exam,T8mcvDfSY8
4,-2,1,-2,-3,-3,1,1,-1,-2,-2,2,1,4,4,-102,no_exam,T8mcvDfSY8
4,-1,1,-2,-2,-3,1,1,-2,-2,-1,1,2,5,4,-95,no_exam,T8mcvDfSY8
3,-1,1,-2,-2,-2,1,1,-2,-2,1,1,1,1,5,-52,no_exam,T8mcvDfSY8
3,-1,1,-2,-2,-2,1,2,-2,-1,-1,1,-1,2,5,-5,no_exam,T8mcvDfSY8
4,-2,1,-2,-2,-2,1,1,-2,-1,-1,1,1,3,5,-85,no_exam,T8mcvDfSY8
4,-1,1,-3,-2,-2,2,2,-2,-1,-1,2,1,4,5,-95,no_exam,T8mcvDfSY8
3,1,1,-2,-1,-2,1,2,-1,1,1,2,-1,5,5,1,no_exam,T8mcvDfSY8
4,-2,1,-2,-2,-2,1,2,-2,-1,-1,1,1,4,6,-85,pre,T8mcvDfSY8
5,-1,1,-2,-2,-2,1,1,-3,-1,-1,1,1,4,7,-130,post,T8mcvDfSY8
4,-1,2,-2,-2,-2,1,1,-2,-2,-2,2,2,1,8,-99,no_exam,T8mcvDfSY8
3,-1,1,-2,-2,-2,1,1,-2,-1,-1,1,1,2,8,-101,no_exam,T8mcvDfSY8
4,-2,2,-2,-2,-3,1,1,-2,-2,-2,1,2,3,8,-112,no_exam,T8mcvDfSY8
4,-2,1,-2,-2,-3,1,1,-2,-2,-2,2,2,4,8,-142,no_exam,T8mcvDfSY8
4,-2,1,-2,-2,-2,1,1,-2,-2,-2,2,2,5,8,-153,no_exam,T8mcvDfSY8
3,-2,1,-3,-2,-2,1,1,-2,-2,-2,1,2,1,9,-103,no_exam,T8mcvDfSY8
4,-2,1,-2,-2,-2,1,1,-2,-2,-2,1,2,2,9,-116,no_exam,T8mcvDfSY8
4,-3,1,-3,-3,-3,1,1,-2,-2,-2,2,2,3,9,-144,no_exam,T8mcvDfSY8
3,-2,1,-2,-2,-2,1,-1,-2,-2,-2,2,2,4,9,-110,no_exam,T8mcvDfSY8
4,-2,2,-2,-2,-2,2,1,-2,-2,-2,2,2,5,9,-151,no_exam,T8mcvDfSY8
3,-2,2,-2,-2,-3,1,1,-2,-2,-2,1,1,1,10,-125,no_exam,T8mcvDfSY8
4,-2,1,-2,-2,-2,1,-1,-2,-2,-2,1,1,2,10,-145,no_exam,T8mcvDfSY8
4,-2,2,-2,-2,-2,1,1,-2,-2,-2,2,2,3,10,-136,no_exam,T8mcvDfSY8
4,-2,1,-2,-2,-2,1,1,-2,-2,-2,1,2,4,10,-139,no_exam,T8mcvDfSY8
4,-2,1,-3,-2,-2,1,-1,-2,-2,-2,2,2,5,10,-148,no_exam,T8mcvDfSY8
4,-2,1,-2,-3,-2,1,1,-2,-2,-2,1,2,1,11,-157,no_exam,T8mcvDfSY8
4,-2,2,-3,-2,-2,1,1,-2,-2,-2,2,2,2,11,-160,no_exam,T8mcvDfSY8
4,-2,2,-3,-2,-2,1,1,-3,-2,-2,1,2,3,11,-163,no_exam,T8mcvDfSY8
4,-2,1,-2,-2,-2,1,1,-2,-2,-2,1,1,4,11,-148,no_exam,T8mcvDfSY8
4,-2,1,-3,-3,-2,1,1,-2,-2,-2,1,1,5,11,-166,no_exam,T8mcvDfSY8
3,-1,-1,-2,1,-2,1,1,-1,1,-1,1,1,1,12,79,no_exam,T8mcvDfSY8
4,1,1,-2,-2,-2,1,1,-2,-1,-1,1,1,2,12,70,no_exam,T8mcvDfSY8
4,-2,1,-2,-2,-1,1,-1,-1,-1,-2,1,2,3,12,-50,no_exam,T8mcvDfSY8
4,-2,1,-2,-2,-2,1,-1,-1,-2,-2,1,1,4,12,-78,no_exam,T8mcvDfSY8
4,-2,1,-2,-2,-2,1,1,-2,-2,-2,1,2,5,12,-87,no_exam,T8mcvDfSY8
3,1,1,-2,-2,-2,1,2,-1,-1,1,1,1,4,13,-31,pre,T8mcvDfSY8
4,-2,1,-2,-2,-2,1,1,-2,-1,-2,1,2,4,14,-136,post,T8mcvDfSY8
4,2,-1,-2,-2,-2,1,2,2,1,2,2,-1,1,15,34,no_exam,T8mcvDfSY8
3,-2,-1,-2,-2,-2,1,1,1,-1,1,1,-1,2,15,29,no_exam,T8mcvDfSY8
4,1,-1,-2,-2,-2,1,2,1,-2,-2,1,1,3,15,-36,no_exam,T8mcvDfSY8
4,1,-1,-3,-2,-3,1,2,-1,-2,-2,1,1,4,15,-47,no_exam,T8mcvDfSY8
4,-2,1,-2,-2,-2,2,2,-2,-1,-1,1,1,5,15,-48,no_exam,T8mcvDfSY8
4,-1,1,-2,-2,-2,1,1,-2,-2,-2,1,2,1,16,-138,no_exam,T8mcvDfSY8
4,-1,1,-2,-2,-2,1,2,-1,-1,-2,1,2,2,16,-125,no_exam,T8mcvDfSY8
4,-2,-1,-2,-2,-2,1,1,-1,2,1,1,1,3,16,-61,no_exam,T8mcvDfSY8
4,-2,1,-2,-2,-1,1,1,-1,-1,-2,1,1,4,16,-79,no_exam,T8mcvDfSY8
5,2,2,-1,1,-3,2,3,1,-2,1,1,2,1,1,-200,no_exam,MLyhT4UKew
5,-1,2,1,1,-2,1,2,-1,-3,-2,2,3,2,1,-152,no_exam,MLyhT4UKew
5,1,2,2,1,-1,-1,2,-1,-1,1,2,1,3,1,-171,no_exam,MLyhT4UKew
5,-1,1,1,-1,-1,-1,2,1,-2,-1,2,2,4,1,-200,no_exam,MLyhT4UKew
5,-2,2,-1,-1,-2,-1,2,-1,-1,1,2,2,5,1,-200,no_exam,MLyhT4UKew
2,-2,2,-2,-2,-3,-1,2,-1,-1,-1,2,1,1,2,134,no_exam,MLyhT4UKew
2,-1,1,1,1,1,-2,2,-1,-1,-1,1,1,2,2,80,no_exam,MLyhT4UKew
5,-2,2,-2,-2,-1,-1,2,-1,-2,-1,2,2,3,2,-200,no_exam,MLyhT4UKew
4,-1,1,-1,-1,-2,-1,2,-1,-1,-1,2,1,4,2,-163,no_exam,MLyhT4UKew
2,3,-3,-1,-3,-3,-3,2,1,-3,-3,2,-1,5,2,-99,no_exam,MLyhT4UKew
3,2,2,-2,-1,-2,2,2,-2,-2,-2,2,2,1,3,-190,no_exam,MLyhT4UKew
5,1,1,-1,-1,-1,2,2,1,-1,1,2,2,3,3,-174,no_exam,MLyhT4UKew
3,-1,1,-3,2,-1,-1,2,1,-2,-2,2,2,4,3,-141,no_exam,MLyhT4UKew
5,-2,1,-2,-1,-2,-1,2,1,-2,-2,2,2,5,3,-160,no_exam,MLyhT4UKew
5,-1,2,-2,-2,-2,1,2,-2,-1,-2,1,2,1,4,-195,no_exam,MLyhT4UKew
4,-2,2,-1,-1,-2,1,2,-1,-1,-1,2,1,2,4,-174,no_exam,MLyhT4UKew
5,-2,2,-2,-2,-2,-2,2,-2,-2,-2,2,2,3,4,-192,no_exam,MLyhT4UKew
5,-1,2,-1,-1,-1,2,2,-1,-2,-2,2,3,4,4,-192,no_exam,MLyhT4UKew
5,-1,1,-2,-1,-2,2,2,-2,-2,-2,2,2,5,4,-200,no_exam,MLyhT4UKew
5,-2,2,-2,-1,-2,2,2,-2,-1,-2,2,2,1,5,-178,no_exam,MLyhT4UKew
5,-2,2,-2,-1,-2,2,2,-2,-2,-1,2,2,2,5,-186,no_exam,MLyhT4UKew
5,-2,2,-2,-2,-2,2,2,-2,-2,-2,2,2,3,5,-179,no_exam,MLyhT4UKew
5,-1,2,-2,-2,-2,2,2,-2,-2,-2,2,2,4,5,-174,no_exam,MLyhT4UKew
5,-2,-2,-2,-2,-2,2,2,-2,-2,-2,2,2,5,5,-189,no_exam,MLyhT4UKew
1,3,-3,-2,2,-2,-2,2,2,3,2,2,-3,4,6,184,pre,MLyhT4UKew
5,-2,2,-2,-2,-2,2,2,-2,-2,-2,2,2,4,7,-164,post,MLyhT4UKew
5,-2,2,-2,-3,-2,-2,2,-2,-2,-2,2,2,1,8,-195,no_exam,MLyhT4UKew
5,-2,2,1,-2,-2,2,2,-2,-2,-2,2,2,2,8,-189,no_exam,MLyhT4UKew
4,-2,2,3,2,-2,-3,2,2,-2,-2,2,2,3,8,-116,no_exam,MLyhT4UKew
5,-2,2,2,2,-2,-3,2,-3,-2,-1,3,2,4,8,-182,no_exam,MLyhT4UKew
5,-2,2,2,-2,-2,-2,2,1,2,-1,2,1,5,8,-200,no_exam,MLyhT4UKew
4,-2,2,2,-2,-2,-2,2,1,-2,-2,2,2,1,9,-144,no_exam,MLyhT4UKew
5,-2,2,-2,-2,-2,-1,2,-2,-2,-2,2,2,2,9,-157,no_exam,MLyhT4UKew
5,-1,2,-2,-2,-2,2,2,-2,-2,-2,2,2,3,9,-148,no_exam,MLyhT4UKew
5,-2,2,2,-2,-2,-2,2,-2,-2,-2,2,2,4,9,-200,no_exam,MLyhT4UKew
5,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,5,9,-173,no_exam,MLyhT4UKew
5,-2,1,2,2,-2,-2,2,2,-1,-2,-1,-2,2,10,-169,no_exam,MLyhT4UKew
5,-1,2,2,1,-1,-2,2,1,-1,-2,1,-1,3,10,-182,no_exam,MLyhT4UKew
5,-2,1,1,-1,-1,-2,2,1,-2,-1,1,1,4,10,-174,no_exam,MLyhT4UKew
5,-1,1,-1,-1,-1,-2,2,1,-2,-1,1,1,5,10,-189,no_exam,MLyhT4UKew
5,-2,2,1,1,-2,-1,2,1,-2,-2,1,-2,1,11,-179,no_exam,MLyhT4UKew
5,1,-1,2,-1,1,-1,2,-1,-2,1,1,1,2,11,-199,no_exam,MLyhT4UKew
4,-2,2,-2,-2,-2,2,2,-2,-2,-2,2,1,3,11,-168,no_exam,MLyhT4UKew
4,-1,1,-1,1,-1,1,1,-1,-1,-1,1,2,1,12,-191,no_exam,MLyhT4UKew
3,-2,2,-1,-2,-2,3,1,-1,-1,1,3,3,1,1,-146,no_exam,BJNBkFJOGn
5,-2,2,-3,-3,-1,3,3,1,-3,-2,3,2,2,1,-175,no_exam,BJNBkFJOGn
5,-1,3,-3,-3,1,3,3,-2,-3,-2,3,2,3,1,-200,no_exam,BJNBkFJOGn
3,-3,3,-3,-3,1,-2,3,-2,-3,-3,3,2,4,1,-200,no_exam,BJNBkFJOGn
5,-2,3,-3,-3,-2,3,3,-3,-3,-3,3,3,5,1,-200,no_exam,BJNBkFJOGn
5,-2,3,-3,-1,-3,3,3,-2,-3,-3,3,3,1,2,-176,no_exam,BJNBkFJOGn
5,-1,3,-3,-3,-3,3,3,-3,-3,-3,3,-1,2,2,-200,no_exam,BJNBkFJOGn
5,-3,3,-3,-3,-3,3,3,-3,-2,-3,3,2,3,2,-200,no_exam,BJNBkFJOGn
5,-2,-3,-3,-3,-2,3,3,-3,-3,-3,3,3,4,2,-200,no_exam,BJNBkFJOGn
5,-3,1,-3,-3,-1,3,3,-2,-2,-2,3,1,5,2,-185,no_exam,BJNBkFJOGn
3,1,1,1,2,-3,2,2,3,1,1,1,2,1,3,51,no_exam,BJNBkFJOGn
3,1,-1,1,3,-3,-2,1,3,1,1,-1,-1,2,3,186,no_exam,BJNBkFJOGn
4,1,-1,1,1,-3,-3,3,3,1,1,-1,-1,3,3,155,no_exam,BJNBkFJOGn
3,1,-2,1,-1,-2,-1,1,3,1,1,-1,-1,4,3,134,no_exam,BJNBkFJOGn
2,3,-3,3,3,-3,1,1,3,2,3,-2,-3,5,3,171,no_exam,BJNBkFJOGn
2,-2,1,1,-1,-2,1,3,3,-1,-2,2,2,1,4,-53,no_exam,BJNBkFJOGn
3,1,-1,1,-1,1,-1,2,3,1,-2,1,-1,2,4,48,no_exam,BJNBkFJOGn
4,1,1,-3,-1,-3,3,3,2,-2,-3,3,2,3,4,-130,no_exam,BJNBkFJOGn
4,1,1,-2,-3,1,1,3,1,1,-2,3,1,4,4,-58,no_exam,BJNBkFJOGn
3,1,-1,-1,1,-2,-1,3,3,3,1,-1,-1,5,4,148,no_exam,BJNBkFJOGn
4,1,1,-2,1,-2,1,3,3,-1,-2,1,1,4,5,-60,pre,BJNBkFJOGn
3,-2,1,-1,-1,1,2,3,1,-1,-2,1,1,4,6,-93,post,BJNBkFJOGn
4,-1,2,-1,1,-1,1,2,2,-1,-1,1,1,1,7,-48,no_exam,BJNBkFJOGn
3,1,-1,3,2,-1,-1,2,3,1,2,1,-1,2,7,76,no_exam,BJNBkFJOGn
3,1,1,-1,-2,1,3,3,1,-2,1,1,1,3,7,-65,no_exam,BJNBkFJOGn
4,1,-1,1,1,2,-3,1,3,1,1,-1,1,4,7,11,no_exam,BJNBkFJOGn
3,2,-1,2,2,1,-1,1,3,1,1,-1,-1,5,7,141,no_exam,BJNBkFJOGn
3,1,-1,3,2,-1,-1,2,3,2,2,-1,-2,2,8,138,no_exam,BJNBkFJOGn
1,3,-3,3,3,-3,-2,-1,3,1,3,-3,-2,3,8,184,no_exam,BJNBkFJOGn
3,1,-3,3,3,-3,-3,-1,3,3,3,-1,-1,4,8,194,no_exam,BJNBkFJOGn
3,2,-1,2,1,-3,-1,-1,3,1,1,1,-1,5,8,135,no_exam,BJNBkFJOGn
3,-1,1,-1,-1,1,1,1,2,-1,-1,1,1,1,9,45,no_exam,BJNBkFJOGn
2,2,-1,1,1,-2,-1,-1,3,1,1,-3,-1,2,9,121,no_exam,BJNBkFJOGn
3,3,-1,3,1,1,-2,2,2,2,1,-1,1,3,9,93,no_exam,BJNBkFJOGn
2,1,-1,1,1,-1,-2,2,1,1,1,1,-1,4,9,101,no_exam,BJNBkFJOGn
2,1,-1,1,2,1,-3,1,1,1,1,-1,-1,5,9,132,no_exam,BJNBkFJOGn
3,1,1,-1,-1,-1,1,1,2,1,1,1,-1,1,10,63,no_exam,BJNBkFJOGn
3,1,-1,-1,1,-1,1,2,2,-1,1,-1,-1,2,10,93,no_exam,BJNBkFJOGn
3,-1,1,1,1,-1,1,2,3,-1,1,-1,1,3,10,33,no_exam,BJNBkFJOGn
3,1,-1,1,1,-2,-1,1,2,1,1,-1,-1,4,10,81,no_exam,BJNBkFJOGn
3,-1,1,-1,-1,-2,1,1,2,-1,-1,1,1,5,10,-21,no_exam,BJNBkFJOGn
3,1,-1,1,-1,-2,-2,2,3,2,1,1,-1,1,11,64,no_exam,BJNBkFJOGn
4,1,1,1,-1,1,-1,1,1,-2,-1,1,1,2,11,-43,no_exam,BJNBkFJOGn
3,1,1,-1,-1,1,1,1,2,-1,-1,1,1,4,11,-18,no_exam,BJNBkFJOGn
4,1,1,1,1,-3,1,2,1,-1,-1,1,-1,5,11,-15,no_exam,BJNBkFJOGn
4,-1,1,-2,-1,1,1,3,-1,-2,-2,2,1,4,12,-83,pre,BJNBkFJOGn
3,-2,3,-2,-2,-1,2,2,-2,-3,-2,2,3,4,13,-112,post,BJNBkFJOGn
2,1,-1,-1,-1,-2,1,2,2,1,1,1,1,1,14,23,no_exam,BJNBkFJOGn
3,2,1,-2,-1,-3,1,2,2,1,1,1,1,2,14,32,no_exam,BJNBkFJOGn
2,2,-2,1,2,-3,-1,2,1,2,1,1,1,3,14,117,no_exam,BJNBkFJOGn
