context,scs_neg_8,dec_1,scs_neg_5,scs_neg_2,dec_3,scs_pos_7,scs_pos_3,scs_neg_4,dec_2,dec_4,scs_pos_1,scs_pos_6,time_window,day,neg_aff,exam_day,user_id
4,2,2,-3,-2,-3,3,3,-2,-3,-3,3,2,2,1,-166,no_exam,yyglmubaxF
3,-2,2,-2,-3,-3,3,2,-2,-2,-2,3,2,3,1,-177,no_exam,yyglmubaxF
3,1,2,-3,-2,-3,2,2,-2,1,1,3,2,4,1,-20,no_exam,yyglmubaxF
3,-2,2,-3,-3,-3,2,2,-2,-2,-2,2,2,5,1,-160,no_exam,yyglmubaxF
4,-2,2,-3,-3,-3,2,2,-2,-3,-3,3,2,1,2,-170,no_exam,yyglmubaxF
3,-2,2,-3,-3,-3,2,2,-2,-2,-2,3,2,2,2,-174,no_exam,yyglmubaxF
3,-2,2,-3,-2,-3,2,2,-2,-2,-2,2,2,3,2,-28,no_exam,yyglmubaxF
3,-1,2,-3,-2,-3,2,2,-2,-2,2,2,2,4,2,0,no_exam,yyglmubaxF
3,-3,2,-3,-3,-3,2,2,-2,-3,-3,2,2,5,2,-147,no_exam,yyglmubaxF
4,-2,3,-3,-3,-3,2,2,-3,-3,-3,3,3,1,3,-179,no_exam,yyglmubaxF
4,-3,3,-3,-3,-3,3,3,-3,-3,-3,3,3,3,3,-191,no_exam,yyglmubaxF
5,-3,3,-3,-3,-3,2,2,-3,-3,-3,3,2,4,3,-200,no_exam,yyglmubaxF
4,-3,2,-3,-3,-3,3,2,-3,-3,-3,3,3,5,3,-200,no_exam,yyglmubaxF
4,1,2,-3,-3,-3,3,1,-3,1,-3,2,2,1,4,-99,no_exam,yyglmubaxF
4,-2,2,-2,-3,-3,2,2,-3,-3,-3,2,2,2,4,-102,no_exam,yyglmubaxF
3,-2,2,-3,-3,-3,2,2,-3,-3,-3,2,2,3,4,-27,no_exam,yyglmubaxF
3,2,2,-2,-3,-3,2,2,-3,-2,-2,3,2,4,4,-58,no_exam,yyglmubaxF
3,-2,2,-3,-3,-3,2,2,-3,-3,-3,2,2,5,4,-126,no_exam,yyglmubaxF
3,2,2,-3,-3,-3,2,2,-3,-1,-2,2,2,4,5,-13,pre,yyglmubaxF
3,1,1,-2,-3,-3,2,2,-2,1,1,2,2,4,6,-8,post,yyglmubaxF
4,-2,2,-2,-3,-3,2,2,-3,-3,-3,2,3,3,7,-118,no_exam,yyglmubaxF
4,-2,2,-3,-3,-3,2,1,-3,-3,-3,2,2,4,7,-140,no_exam,yyglmubaxF
2,2,-1,-3,1,-3,2,1,1,2,1,2,-1,5,7,70,no_exam,yyglmubaxF
3,-3,2,-3,-3,-3,3,2,-3,-3,-3,3,2,1,8,-144,no_exam,yyglmubaxF
4,-3,2,-3,-3,-3,2,2,-2,-3,-2,2,2,2,8,-137,no_exam,yyglmubaxF
3,-3,2,-2,-3,-3,2,2,-3,-3,-3,2,2,3,8,-167,no_exam,yyglmubaxF
4,-3,2,-3,-3,-3,2,2,-3,-3,-2,2,2,4,8,-161,no_exam,yyglmubaxF
3,-3,2,-3,-3,-3,2,3,-3,-3,-3,3,2,5,8,-169,no_exam,yyglmubaxF
3,1,2,-3,-2,-3,2,2,1,-3,-2,2,2,1,9,0,no_exam,yyglmubaxF
3,-2,1,-2,-2,-2,2,2,2,-2,-2,2,2,2,9,-7,no_exam,yyglmubaxF
4,-2,2,-2,-2,-2,2,2,1,-2,-2,2,2,3,9,-11,no_exam,yyglmubaxF
3,-2,2,-3,-2,-3,2,2,1,-2,-2,2,2,4,9,-25,no_exam,yyglmubaxF
3,-2,2,-2,-2,-2,2,1,1,-2,1,2,2,5,9,-6,no_exam,yyglmubaxF
3,-2,2,-3,-2,-2,2,2,-3,-3,-2,2,2,1,10,-135,no_exam,yyglmubaxF
4,-3,2,-3,-3,-3,2,2,-2,-3,-3,2,2,2,10,-163,no_exam,yyglmubaxF
3,-2,2,-2,-2,-3,2,2,-3,-3,-2,2,2,3,10,-135,no_exam,yyglmubaxF
4,-3,2,-3,-3,-3,3,2,-3,-3,-3,2,2,4,10,-200,no_exam,yyglmubaxF
4,-3,2,-3,-3,-3,2,2,-3,-3,-3,2,2,5,10,-162,no_exam,yyglmubaxF
3,-2,2,-3,-2,-3,2,2,-2,-2,-1,2,2,1,11,-80,no_exam,yyglmubaxF
5,3,2,2,1,-2,-2,2,-2,3,1,2,-2,4,11,-130,no_exam,yyglmubaxF
3,-2,2,-3,-3,-2,2,2,-2,1,-2,2,2,5,11,-83,no_exam,yyglmubaxF
3,2,2,-2,-2,-3,2,2,-2,-1,-2,2,2,4,12,-42,pre,yyglmubaxF
4,-2,2,-3,-3,-3,2,2,-3,-3,-2,2,2,4,13,-128,post,yyglmubaxF
4,-2,2,-2,-2,-3,2,1,-2,-2,-2,2,2,1,14,-122,no_exam,yyglmubaxF
4,-1,2,-3,-2,-3,2,1,-3,-2,-3,2,2,2,14,-150,no_exam,yyglmubaxF
4,-3,2,-3,-3,-3,2,2,-3,-3,-2,2,2,4,14,-186,no_exam,yyglmubaxF
2,-1,-1,3,-2,1,-2,-2,2,-1,3,1,-1,5,14,-200,no_exam,yyglmubaxF
3,1,2,-3,-2,-3,2,2,1,-1,1,2,2,1,15,27,no_exam,yyglmubaxF
4,2,1,-2,-3,-3,2,1,1,-1,-3,2,1,2,15,-7,no_exam,yyglmubaxF
4,-3,-3,-3,-3,-3,2,2,-2,-2,-3,2,2,3,15,-23,no_exam,yyglmubaxF
3,-2,2,1,-2,-2,2,-1,1,-3,1,2,2,4,15,3,no_exam,yyglmubaxF
3,-1,2,-3,-2,-3,2,3,2,1,-2,1,2,1,1,-134,no_exam,GXE1SW37BK
3,-1,1,-1,-2,-2,2,2,2,-1,-1,-2,2,2,1,-103,no_exam,GXE1SW37BK
4,1,2,-2,-2,-1,2,2,2,-2,-1,2,2,3,1,-35,no_exam,GXE1SW37BK
4,-2,2,-3,-2,-2,2,2,2,-2,-2,1,2,4,1,-127,no_exam,GXE1SW37BK
4,-1,2,-1,-2,-2,2,2,2,-1,-2,2,2,5,1,-170,no_exam,GXE1SW37BK
3,-2,2,-3,-2,-1,1,3,2,-2,-3,-2,1,1,2,-124,no_exam,GXE1SW37BK
3,-3,3,-3,-2,-3,3,3,2,-3,-3,1,3,2,2,-35,no_exam,GXE1SW37BK
3,-2,2,-2,-3,-2,2,2,2,-2,-2,2,2,3,2,-21,no_exam,GXE1SW37BK
3,1,1,-3,-1,-2,1,2,1,1,-2,1,1,5,2,153,no_exam,GXE1SW37BK
2,-2,2,-2,-3,-2,2,2,2,-3,-2,1,3,2,3,-68,no_exam,GXE1SW37BK
2,-3,2,-3,-3,-2,2,3,3,-2,-2,2,2,2,3,-55,no_exam,GXE1SW37BK
3,-3,2,-3,-3,-2,2,3,3,-2,-3,1,2,5,3,-77,no_exam,GXE1SW37BK
3,-2,2,-3,-2,-2,3,3,3,-2,-2,2,2,1,4,-66,no_exam,GXE1SW37BK
3,-3,3,-3,-2,-2,2,3,3,-2,-3,2,2,2,4,-59,no_exam,GXE1SW37BK
3,-3,2,-3,-3,-1,2,3,2,-2,-2,2,3,3,4,-46,no_exam,GXE1SW37BK
3,-3,2,-3,-2,-3,2,3,3,-3,-3,2,3,5,4,-29,no_exam,GXE1SW37BK
3,-2,2,-2,-1,-2,2,3,3,-2,-2,1,2,1,5,-65,no_exam,GXE1SW37BK
3,-1,2,-3,-2,-2,2,3,2,1,1,1,1,2,5,66,no_exam,GXE1SW37BK
5,3,1,-1,-1,-3,1,3,-2,1,-1,1,1,3,5,-200,no_exam,GXE1SW37BK
3,-1,1,-2,-1,-1,2,3,2,-1,-2,1,2,5,5,-75,no_exam,GXE1SW37BK
3,-2,2,-1,-1,-2,2,2,2,2,-1,1,1,4,6,23,pre,GXE1SW37BK
3,1,2,-1,1,1,1,1,2,-1,1,1,2,5,7,21,post,GXE1SW37BK
2,2,-1,-3,-1,3,1,3,3,1,-2,1,1,1,8,113,no_exam,GXE1SW37BK
4,-2,2,-2,-3,-2,2,2,2,-2,-3,2,2,2,8,-30,no_exam,GXE1SW37BK
3,-1,1,-1,-1,-1,2,3,2,-2,-2,1,2,5,8,-70,no_exam,GXE1SW37BK
3,-2,2,-2,2,-1,2,1,2,-3,-2,2,2,2,9,-38,no_exam,GXE1SW37BK
3,-2,3,1,-3,-2,-2,2,2,-1,-2,1,2,3,9,-55,no_exam,GXE1SW37BK
3,-2,2,-2,-2,-2,2,2,2,-2,-1,2,3,4,9,-112,no_exam,GXE1SW37BK
3,-2,2,-2,1,-1,3,3,3,1,-2,3,3,3,10,18,no_exam,GXE1SW37BK
3,-2,2,-2,1,-1,2,3,2,-1,-2,1,3,4,10,22,no_exam,GXE1SW37BK
3,-2,2,-2,-2,-2,3,3,3,-2,-1,2,2,2,11,-56,no_exam,GXE1SW37BK
3,-1,-1,-1,-3,-1,-1,3,2,-2,-1,2,1,3,11,18,no_exam,GXE1SW37BK
3,2,1,-1,1,-2,1,3,3,-2,-1,1,2,4,11,97,no_exam,GXE1SW37BK
3,1,2,-2,1,-1,-1,3,3,-2,1,1,-1,5,11,76,no_exam,GXE1SW37BK
3,2,1,-1,1,1,1,3,3,1,1,1,1,3,12,120,no_exam,GXE1SW37BK
3,1,1,2,2,3,1,3,3,-1,1,1,-3,4,12,106,no_exam,GXE1SW37BK
3,-1,1,-1,-1,-1,1,3,2,1,-1,-1,2,5,12,51,no_exam,GXE1SW37BK
1,2,-3,-1,3,-2,-1,1,3,3,1,1,-1,4,13,200,pre,GXE1SW37BK
4,-2,2,-3,-3,-1,1,3,1,-2,-2,1,2,4,14,-135,post,GXE1SW37BK
3,-1,2,-2,-1,-2,1,3,2,-1,-2,1,2,2,15,-3,no_exam,GXE1SW37BK
